volMax pesoMax custo matricula
328 398 13956 NR98ST
287 304 15787 WC60YY
288 346 13476 QP09IK
344 306 14015 FF89NI
335 383 16287 KK66VW
278 386 16833 RE37KY
344 306 14015 XF35LS
378 272 15057 YP63AD
376 262 16090 OO09XZ
262 384 15363 CO01UV
309 377 15136 VA12YG
253 386 13481 OE07FP
265 274 14952 NP33VR
277 399 14862 IP82MY
287 342 15977 HW01QR
309 377 15136 PM78JJ
335 381 15531 OO16OW
310 387 14105 XW98SN
285 258 13044 BX88KS
394 351 15473 ZK38TX
258 289 14932 KN34JY
343 277 15226 FI99SW
378 272 15057 KK49NU
343 277 15226 XZ33BM
287 304 15787 MG88OK
336 345 14342 TL89NK
256 289 14860 AU89QR
310 387 14105 DD86TE
368 308 16575 OJ86YY
287 304 15787 PV24MP
388 268 14521 AJ19VG
268 346 14777 BF20OV
255 275 13025 ZY19TR
382 304 14967 DC58SR
355 322 13718 ES94HD
360 331 15444 ZC25ZC
395 315 16790 FW50IJ
253 386 13481 VD67XH
370 366 13618 CB35VG
325 316 13378 LW25US
258 289 14932 MB63XT
288 346 13476 HC82PX
335 381 15531 HG62NK
281 287 14581 UF15OT
344 306 14015 GB29PE
336 345 14342 AN96TC
255 275 13025 KE75SH
398 378 15048 LJ44GG
397 321 13931 KJ30ZJ
258 289 14932 NP03QG
285 258 13044 IE37SR
259 310 16154 ZJ43UJ
388 268 14521 LC53BF
287 342 15977 MK64WZ
393 377 16543 BI00BX
335 383 16287 UU75SK
256 289 14860 RS95EK
310 387 14105 QD68ZJ
287 342 15977 EU92SR
285 258 13044 CO70JI
394 379 13241 FI49EE
292 289 14548 DP45RN
253 386 13481 VY22TA
281 287 14581 BD54SO
