volMax pesoMax custo matricula
335 383 16287 GI93XG
262 384 15363 ND16DL
325 316 13378 JR79EY
262 384 15363 PO31RP
262 389 15106 PS10ZS
335 383 16287 BE13XH
391 395 13796 QD64CZ
309 377 15136 FS10TA
368 308 16575 NE98MM
253 386 13481 IC20GF
296 271 13742 ZB86SS
378 272 15057 BC72HC
310 387 14105 ZX42AW
395 315 16790 LA99TT
255 275 13025 BV51GT
360 331 15444 OR09NY
259 310 16154 OQ08HQ
256 289 14860 MI62BN
255 275 13025 JZ10ZX
262 389 15106 OS46EX
288 346 13476 NK49QB
366 375 15556 WC32YJ
368 308 16575 EE50JO
308 371 13865 KO02AK
393 377 16543 DZ29GX
277 399 14862 UM52XC
343 277 15226 MY12JQ
376 262 16090 FO53SK
325 316 13378 GA90BM
335 381 15531 MB34KN
335 265 15168 OA29NJ
366 375 15556 EH70WD
336 345 14342 HG00QY
281 287 14581 OC67ER
328 398 13956 VL20MZ
268 346 14777 HH04XZ
256 289 14860 MG45QX
256 289 14860 GO91DD
259 310 16154 UD61KV
382 304 14967 FO20DO
281 287 14581 CL89NM
262 389 15106 AK40JY
355 322 13718 XB83WY
376 262 16090 YK00XN
310 387 14105 DN06XH
366 375 15556 SH54NN
268 346 14777 QW95SK
328 398 13956 QQ46IO
335 265 15168 NV68XX
365 301 13406 BN36OU
343 277 15226 KQ88BY
262 389 15106 OI41WC
365 259 16982 GT37EJ
397 321 13931 LE03YN
343 277 15226 VY74NT
335 381 15531 PD52TF
262 389 15106 SO80YY
255 275 13025 HV44QP
268 346 14777 IU03JO
287 342 15977 FC70CL
344 306 14015 WV42AE
394 351 15473 NB84DY
398 378 15048 TJ84CH
344 306 14015 RK84EJ
335 265 15168 IY85LQ
259 310 16154 FS71IH
355 322 13718 CP31FD
385 254 14819 VC31TH
253 386 13481 ES80RC
368 308 16575 HO12AL
277 399 14862 ER00KC
262 384 15363 ZQ25EX
365 301 13406 NZ92EM
278 386 16833 SC88SW
368 308 16575 SD18VK
258 289 14932 LE93MS
378 272 15057 NU67NW
285 258 13044 LI76WX
385 254 14819 DN87OU
256 289 14860 FA60ZE
393 377 16543 OX83PX
397 321 13931 BR67PE
335 383 16287 FI80MD
325 316 13378 JI36ZX
368 308 16575 EY67DB
336 345 14342 EJ46ZN
