volMax pesoMax custo matricula
355 322 13718 NA96WJ
292 316 16581 YB77HH
378 272 15057 HA24NJ
368 308 16575 TY07GC
360 331 15444 VO73OV
287 304 15787 KQ32MZ
288 346 13476 CL89UX
255 275 13025 WV02PB
398 378 15048 DX48VY
335 381 15531 PU17GK
360 331 15444 HY97DL
365 259 16982 YP25MO
281 287 14581 DH31ZL
325 316 13378 MD64VB
355 322 13718 RB44MP
308 371 13865 IK65HD
308 371 13865 KW68IO
366 375 15556 JO78GL
335 383 16287 QF11SC
398 378 15048 WO12DX
325 316 13378 RO63XZ
378 272 15057 MH23XM
394 379 13241 RO83SL
360 331 15444 HH12FZ
365 301 13406 RS53FS
253 386 13481 AY38RI
355 322 13718 BU71KO
281 287 14581 GI59MK
343 277 15226 MN86MN
287 342 15977 FX18RN
296 271 13742 UJ18BE
288 346 13476 EH25YE
385 254 14819 EG65YK
366 375 15556 WD14UW
397 321 13931 ZI09FP
256 289 14860 YD14NT
310 387 14105 YW12EK
355 322 13718 CL71XX
288 346 13476 XC49XW
292 289 14548 AH34JR
292 316 16581 FV93TQ
366 375 15556 WB74QE
308 371 13865 MM69SC
292 289 14548 HD90YM
262 384 15363 MT66LT
388 268 14521 OO94BC
365 301 13406 OJ68MU
368 308 16575 XH64ZY
365 259 16982 IT34MR
355 322 13718 PZ39PU
308 371 13865 VD56TO
285 258 13044 KR98PT
256 289 14860 DH00GM
378 272 15057 KY21GF
391 395 13796 OV46TM
365 301 13406 XX79NW
288 346 13476 QG92CO
344 306 14015 IJ11QH
292 289 14548 AR71XC
259 354 13356 RM72AA
285 258 13044 ZC31EN
397 321 13931 RQ07UP
376 262 16090 LA74DS
262 384 15363 MX48TQ
325 316 13378 TH24DV
328 398 13956 KR78UN
388 268 14521 XZ09HO
394 379 13241 GE36YZ
388 268 14521 MU88HJ
255 275 13025 QN13HH
308 371 13865 TL24DB
335 383 16287 SF64GU
370 366 13618 ZH13KO
336 345 14342 FV00CK
309 377 15136 PQ43IC
292 316 16581 ZY10UD
262 389 15106 AS09MH
285 258 13044 PR26OC
258 289 14932 NA55WZ
394 351 15473 GC82IO
344 306 14015 DM02HS
344 306 14015 AZ34PS
344 306 14015 OF49SH
393 377 16543 GA19YV
370 366 13618 CM37JU
292 316 16581 LT97GI
365 259 16982 NO19VC
398 378 15048 RM82MC
292 289 14548 IF87RQ
394 379 13241 PH71BU
292 289 14548 JH32YV
394 351 15473 BY30GD
365 301 13406 MO37AX
262 384 15363 SL82PQ
394 379 13241 ZO23PA
277 399 14862 KI08WH
335 381 15531 RQ53BT
285 258 13044 FX09AD
385 254 14819 UB98BC
335 265 15168 YQ43QE
336 345 14342 LR26KY
292 316 16581 RB49CF
394 351 15473 UP69MK
378 272 15057 MO59CY
268 346 14777 TJ88JH
262 384 15363 LZ84UR
382 304 14967 WK82CF
262 389 15106 JN67FS
343 277 15226 PJ25LM
277 399 14862 BF81OZ
355 322 13718 ZX53GN
355 322 13718 JL63VW
265 274 14952 IC83EF
365 301 13406 LW48LC
259 354 13356 OK67IQ
355 322 13718 FY78QL
382 304 14967 PY99VF
278 386 16833 NY43KR
287 342 15977 VH18CT
376 262 16090 SY88KV
394 379 13241 FA22AF
394 351 15473 DY53UF
366 375 15556 TQ51TL
393 377 16543 EM36HI
259 310 16154 WZ13CI
268 346 14777 IF28YD
370 366 13618 PF48EO
288 346 13476 NL61PB
325 316 13378 PQ83DZ
287 304 15787 VD34NX
287 304 15787 VN25HY
277 399 14862 YQ80ND
365 259 16982 IA16LM
335 381 15531 AY32IK
287 342 15977 PC01AX
335 381 15531 TO17JD
310 387 14105 RH33XM
288 346 13476 CS75YV
278 386 16833 IU61LP
355 322 13718 WW68TT
277 399 14862 XL88BB
287 342 15977 ZI87LN
398 378 15048 DV63VZ
393 377 16543 MK09DY
292 289 14548 KJ27HH
378 272 15057 KC47QZ
296 271 13742 WN47QR
370 366 13618 AI97CF
388 268 14521 ID86CQ
360 331 15444 UT20MM
335 265 15168 HX44JT
395 315 16790 EI01WQ
285 258 13044 OF30IZ
365 301 13406 NK75RH
325 316 13378 YE00GM
397 321 13931 JS13GC
278 386 16833 MO65AC
397 321 13931 AH24SX
309 377 15136 CZ05TW
292 316 16581 XA03XE
355 322 13718 GG66PN
394 351 15473 DS85JP
278 386 16833 CJ60AM
310 387 14105 OC31BF
259 354 13356 LP89KA
281 287 14581 OO00KV
398 378 15048 RR83NK
343 277 15226 DF88PR
355 322 13718 OS10WE
292 289 14548 FK80AG
285 258 13044 OC65DQ
394 351 15473 XF54HK
288 346 13476 YH34XN
343 277 15226 GO96CM
382 304 14967 LM10EP
287 342 15977 RZ64XD
255 275 13025 DA27MX
309 377 15136 YC38UG
296 271 13742 EO55BM
365 259 16982 GW18FP
370 366 13618 BE26GC
395 315 16790 EX65HD
259 354 13356 VK21SU
397 321 13931 LX71HA
288 346 13476 JH89HP
309 377 15136 XA00MX
328 398 13956 RF14TR
256 289 14860 VN78KR
309 377 15136 UF85TK
336 345 14342 NO38QQ
255 275 13025 YK27SK
368 308 16575 RH59EQ
296 271 13742 HZ41YL
382 304 14967 BW49FN
394 351 15473 VU65BK
343 277 15226 NW30JW
281 287 14581 JY92SZ
385 254 14819 VP15ES
288 346 13476 GO32PO
335 381 15531 GO99HS
281 287 14581 MI59QS
256 289 14860 SL96CX
343 277 15226 QX05YD
365 301 13406 RR78DZ
256 289 14860 FA85YB
370 366 13618 AG46JV
268 346 14777 LI11WW
265 274 14952 FV81MO
355 322 13718 DY53LQ
309 377 15136 QP13IO
393 377 16543 YG62HJ
335 265 15168 SV73WH
335 265 15168 RS83OR
285 258 13044 UX58LZ
391 395 13796 XP78CT
391 395 13796 OZ59CF
296 271 13742 KH45NG
385 254 14819 MV09AJ
292 316 16581 JM44FI
281 287 14581 TT98ZY
385 254 14819 SF37LI
277 399 14862 TC31QQ
394 351 15473 KK90PJ
397 321 13931 JE78BK
277 399 14862 JE40IZ
397 321 13931 UK63ZJ
277 399 14862 VC94TA
360 331 15444 XP80JF
262 389 15106 QS65HW
288 346 13476 GY97CF
395 315 16790 FK36UK
360 331 15444 UE92TK
268 346 14777 BT06OZ
376 262 16090 WA09QM
344 306 14015 NT85JI
325 316 13378 CT05TH
253 386 13481 HT57DZ
393 377 16543 NM65TN
388 268 14521 QI09US
382 304 14967 GI35HD
335 381 15531 AZ50NX
385 254 14819 KX67IK
259 354 13356 HD41UQ
253 386 13481 LG66KP
292 316 16581 OI57HA
366 375 15556 KH27SZ
335 265 15168 XH58WQ
343 277 15226 JP87UU
360 331 15444 EK86FJ
395 315 16790 VB08PT
