volMax pesoMax custo matricula
365 301 13406 NM19CX
335 383 16287 XC04OY
292 289 14548 DK65YC
335 381 15531 PD12ZZ
262 389 15106 UB51GQ
394 351 15473 GN32QG
398 378 15048 ZO19CE
253 386 13481 TC32ZI
343 277 15226 BZ93EV
343 277 15226 JY42IM
394 351 15473 DP71OT
287 342 15977 ZT40AP
256 289 14860 LW68NO
397 321 13931 DM02VP
378 272 15057 SS76ZI
328 398 13956 XD66SR
360 331 15444 DJ31EV
355 322 13718 VF66LU
325 316 13378 XM99OK
259 310 16154 GA49RW
344 306 14015 BS29KQ
335 265 15168 PN91LZ
308 371 13865 TC69TN
255 275 13025 RV36DX
287 304 15787 YK61JN
288 346 13476 DQ84TW
288 346 13476 NQ48ME
335 383 16287 QL30SZ
360 331 15444 JD84XM
287 342 15977 HC28ZD
368 308 16575 UZ50JB
288 346 13476 DZ16HR
376 262 16090 XX08HQ
360 331 15444 GK15AR
296 271 13742 AA58RY
256 289 14860 SS17DY
285 258 13044 XU35KM
343 277 15226 TS47JO
398 378 15048 UN56WO
262 389 15106 GX07JE
268 346 14777 MD61UP
259 354 13356 LZ80XH
255 275 13025 VZ74TS
281 287 14581 RV10EW
370 366 13618 XB50AC
398 378 15048 ZE62HL
365 301 13406 RU28OL
397 321 13931 YP64IA
391 395 13796 PA48NV
262 389 15106 HG98DH
278 386 16833 HO14FM
259 354 13356 PF72FE
281 287 14581 AF65FC
287 304 15787 BK11VL
278 386 16833 UR14GH
309 377 15136 PW24WZ
368 308 16575 PV88JC
343 277 15226 HK69OU
376 262 16090 QA60OJ
397 321 13931 FJ79LA
296 271 13742 MR58GO
292 316 16581 DM15DK
308 371 13865 XA95KL
394 379 13241 QC42MM
370 366 13618 EP49RY
394 351 15473 HJ76NR
256 289 14860 OS61YE
310 387 14105 RW13AK
268 346 14777 IA69PP
256 289 14860 TS73QB
378 272 15057 ER28IN
308 371 13865 YG82VS
378 272 15057 NL22KX
277 399 14862 AL63IB
376 262 16090 SB91RO
394 379 13241 LU38YG
366 375 15556 MZ82HJ
394 379 13241 HF27GF
285 258 13044 YZ19XN
262 384 15363 YV36FE
281 287 14581 ND87VF
310 387 14105 XB62LD
378 272 15057 HV11AP
277 399 14862 TG06PG
335 381 15531 TT60QJ
382 304 14967 BD60XW
344 306 14015 GI54WI
394 351 15473 TC81KI
388 268 14521 VB36AM
365 301 13406 MQ07BW
335 383 16287 FR18JS
328 398 13956 PS86LA
292 316 16581 YP29YN
287 304 15787 UB09UK
265 274 14952 BU53WS
308 371 13865 KE78JT
393 377 16543 AQ22IP
335 381 15531 PQ12ZM
265 274 14952 NL42DL
336 345 14342 PV68LV
292 316 16581 CD84TS
388 268 14521 IG04SZ
258 289 14932 ME41QM
281 287 14581 SK66CW
368 308 16575 YC86DH
277 399 14862 BB61FB
255 275 13025 QP66BK
259 310 16154 VB08KZ
365 301 13406 ZG25JF
288 346 13476 XT84RV
278 386 16833 HE92OJ
335 383 16287 NL41HN
325 316 13378 RK27TD
292 289 14548 UP89WY
398 378 15048 ZQ61PQ
265 274 14952 HX25HT
259 354 13356 ZB05NS
292 316 16581 AU23UK
308 371 13865 JJ72TJ
394 351 15473 KD25LC
397 321 13931 KU44KX
368 308 16575 PZ06NE
268 346 14777 TC08AQ
360 331 15444 RI58FY
370 366 13618 WD93SC
277 399 14862 HJ56FR
343 277 15226 NV23XT
394 379 13241 QH11HC
370 366 13618 VF08DF
355 322 13718 DL11RR
308 371 13865 WV89ML
376 262 16090 GR77OF
287 342 15977 QP38NO
336 345 14342 VY54GF
325 316 13378 BN36AL
382 304 14967 PT46BQ
393 377 16543 RC24CX
265 274 14952 SB52NO
309 377 15136 JF29VO
258 289 14932 UO86FL
310 387 14105 EW38AH
287 304 15787 DB85CV
344 306 14015 ID65XH
285 258 13044 NS53IR
365 301 13406 SL73BA
310 387 14105 PN35OK
287 342 15977 GU42RS
394 351 15473 RP01LG
335 265 15168 PT00HQ
287 304 15787 JX75NI
325 316 13378 OG28TG
285 258 13044 CB12VJ
360 331 15444 FO37YZ
288 346 13476 RM23HB
259 310 16154 IR70KU
262 389 15106 DY52HW
268 346 14777 OO06GH
255 275 13025 WD68VE
259 354 13356 WG23FQ
287 304 15787 DJ92KV
366 375 15556 IU37VW
376 262 16090 HE47AJ
336 345 14342 XC74OD
385 254 14819 RT93WD
256 289 14860 YI74UH
310 387 14105 DH27ZZ
365 301 13406 ZG59LN
378 272 15057 PR94OD
344 306 14015 MH84TX
262 389 15106 YQ11QE
259 310 16154 OJ30NC
262 384 15363 CN35TG
258 289 14932 PC52GH
397 321 13931 KQ46MH
287 342 15977 TA35RV
253 386 13481 UM63HO
394 379 13241 BX18TV
365 301 13406 VT94CR
393 377 16543 UC77ME
265 274 14952 SS13NZ
310 387 14105 RU36TV
262 384 15363 ZX30ZV
258 289 14932 JR91OJ
278 386 16833 SH86PC
393 377 16543 TR82ZF
382 304 14967 BT12KG
262 389 15106 YZ41PB
395 315 16790 WR30CG
343 277 15226 WF20BM
382 304 14967 LY21RE
292 289 14548 HI00TQ
343 277 15226 LI23ZJ
285 258 13044 WE30YS
262 389 15106 AV09TN
277 399 14862 CD59CA
258 289 14932 EU17BP
265 274 14952 WC22WG
292 316 16581 BG38YL
344 306 14015 CK88TD
393 377 16543 LB57KH
368 308 16575 NH05JU
388 268 14521 SY78FO
325 316 13378 OK22MX
355 322 13718 JE84PE
268 346 14777 TE82GX
262 389 15106 CK90DP
259 310 16154 PE45UP
397 321 13931 LN62CP
310 387 14105 IY44IA
388 268 14521 HR87KV
394 351 15473 WE49ON
288 346 13476 KD28PY
262 389 15106 EQ19AC
335 383 16287 CZ68HL
370 366 13618 QU81TN
394 351 15473 TF86BG
344 306 14015 MX66ZV
366 375 15556 OG19PT
376 262 16090 MN39FG
310 387 14105 FL37EZ
262 389 15106 VK96UP
265 274 14952 GV46OP
253 386 13481 TA52MY
376 262 16090 RI34WP
296 271 13742 NR20GE
278 386 16833 EQ11JH
308 371 13865 YH06ZX
370 366 13618 TQ57OP
281 287 14581 LU75CL
265 274 14952 OZ57JX
278 386 16833 UP21SW
262 389 15106 MP98HS
