volMax pesoMax custo matricula
368 308 16575 QN11IF
376 262 16090 LU30VN
253 386 13481 JX19KC
262 384 15363 FK59JQ
388 268 14521 AQ74HY
259 310 16154 JS71AK
368 308 16575 RS84YQ
325 316 13378 QU10JC
296 271 13742 YU05ED
365 301 13406 GF05KX
281 287 14581 YQ29OT
370 366 13618 AJ04HY
265 274 14952 LT14OE
296 271 13742 LW77XP
253 386 13481 PZ70VB
277 399 14862 ZV51HW
277 399 14862 CF93MA
397 321 13931 MA10YV
256 289 14860 RQ94ZT
365 259 16982 UO58TH
296 271 13742 XS29JR
255 275 13025 PS27SG
292 316 16581 TH58LG
287 342 15977 HZ35AX
265 274 14952 DT69HY
355 322 13718 QZ73IM
277 399 14862 RU60CX
287 304 15787 QK18DL
281 287 14581 ZG95NH
394 351 15473 IV55KC
365 259 16982 GA78GY
288 346 13476 QD97TR
288 346 13476 TH83ZY
256 289 14860 AZ91OV
285 258 13044 TQ42TC
388 268 14521 CO98NE
385 254 14819 YT48RJ
378 272 15057 CY86IV
262 389 15106 YH57LJ
366 375 15556 HE96HM
360 331 15444 UR61BL
256 289 14860 WA67IQ
344 306 14015 GT28QM
325 316 13378 MJ99GO
277 399 14862 PR67TY
335 381 15531 KK93BN
278 386 16833 XW15GE
308 371 13865 QI27HC
278 386 16833 TC96PH
378 272 15057 EQ52UY
256 289 14860 KK38PL
285 258 13044 ZD00KP
259 310 16154 VO78MH
398 378 15048 XQ31UI
388 268 14521 ED97GW
398 378 15048 OO60PN
256 289 14860 DK61GP
281 287 14581 HH18QB
391 395 13796 QR57DR
398 378 15048 YK95UT
256 289 14860 NU47PP
366 375 15556 DE21JG
391 395 13796 DY12EC
391 395 13796 QN18MK
292 316 16581 MI52CE
368 308 16575 LB54BW
296 271 13742 KD18ME
278 386 16833 LS29VK
393 377 16543 YW17ES
343 277 15226 OI94LG
394 379 13241 XI17VW
385 254 14819 LF79JZ
253 386 13481 WC72ME
292 316 16581 WT88FP
253 386 13481 IF09TT
385 254 14819 WN17DB
395 315 16790 TW65CL
255 275 13025 JP72EQ
395 315 16790 RD00VY
368 308 16575 CG15AZ
288 346 13476 AO30GX
376 262 16090 WB17QU
287 342 15977 RM45PO
292 316 16581 JR85ED
335 265 15168 UF76KH
277 399 14862 KT50YT
325 316 13378 JP66GV
310 387 14105 JC37GZ
365 259 16982 HW60SL
336 345 14342 ZC81OJ
355 322 13718 WR82NB
