volume peso recompensa
22 13 709
20 20 418
19 10 1820
19 10 1820
6 10 713
22 19 287
19 16 1012
3 7 1565
25 22 861
26 6 1627
3 22 1768
10 3 1641
9 16 814
7 26 1166
3 13 530
23 13 206
19 28 512
26 6 1627
7 26 1257
10 13 347
28 19 1240
22 16 644
10 19 1278
22 25 1227
3 3 355
16 29 1694
9 22 452
25 19 1753
29 26 1724
29 23 1148
20 7 894
19 3 1814
19 22 735
3 7 1565
9 22 909
10 29 1194
25 28 1909
20 20 418
25 28 1521
7 29 743
16 10 1309
16 22 491
7 13 898
22 22 265
10 26 410
16 10 396
7 16 789
26 7 738
7 10 1630
16 28 1821
3 10 984
16 29 1002
13 25 1026
13 10 606
13 25 550
9 22 909
13 3 690
3 20 1434
3 23 571
3 16 1456
19 22 1897
6 6 1445
22 25 1227
26 20 971
