volume peso recompensa
26 22 1348
3 10 1475
22 22 930
7 13 1210
13 9 820
28 6 1636
13 6 223
19 3 762
16 3 477
20 16 823
7 29 598
3 16 220
20 13 848
22 9 1509
16 13 654
10 13 1315
26 7 618
29 10 1657
19 6 217
16 3 704
7 10 801
19 19 1956
6 6 779
28 6 707
13 10 629
28 6 1208
22 13 667
7 26 1257
3 16 753
20 7 894
6 22 597
25 22 1331
20 20 418
6 16 618
13 6 1987
6 3 615
3 16 753
3 3 1563
25 28 1521
22 13 1897
7 26 1166
26 19 244
19 13 1537
9 22 452
10 6 1747
22 16 1598
6 6 779
16 28 875
19 25 305
20 10 1663
19 16 1351
10 3 1641
25 22 861
3 22 1662
6 22 666
20 26 1863
19 13 1784
9 25 1529
25 28 521
29 20 1972
26 19 1397
22 13 226
26 26 1261
16 3 227
22 28 1717
9 16 814
26 29 610
13 6 1987
7 3 1823
26 29 610
29 20 1160
6 16 647
19 10 1820
9 22 452
26 22 1487
7 20 412
16 13 707
23 20 437
22 9 1805
20 23 1551
19 25 305
29 20 1972
3 13 1889
16 3 262
29 16 1051
25 16 620
20 16 1200
6 22 666
6 16 618
22 3 1492
19 22 1897
20 3 1785
3 16 1105
19 19 1956
20 7 894
13 10 738
9 22 909
16 26 1789
13 29 1255
3 10 579
6 29 1800
29 16 1051
3 19 1928
7 26 1257
29 29 1019
16 3 704
29 10 243
19 6 324
19 16 1351
19 13 1040
29 29 763
6 22 597
13 26 396
16 6 1188
7 7 828
16 22 491
3 13 633
7 13 898
6 6 1445
28 25 952
22 16 982
3 9 1558
3 16 1796
26 19 1397
3 22 940
6 6 564
28 25 952
16 28 1863
6 19 1243
19 13 1904
23 16 1918
26 7 618
23 7 936
6 6 1921
6 22 597
19 16 1489
28 19 1240
6 10 465
25 28 221
22 16 982
28 9 1185
22 13 667
16 19 1193
3 16 1456
13 25 1467
19 22 1260
3 16 501
6 16 647
3 19 952
29 16 584
16 28 1863
6 16 647
16 29 1730
16 29 533
26 29 267
13 26 396
22 6 683
13 25 1026
13 10 629
13 29 626
6 19 1243
9 19 775
19 28 213
19 19 1990
16 28 875
3 19 901
28 6 1065
13 6 490
29 26 1522
26 16 1303
16 26 1789
20 7 386
16 13 1718
25 16 620
23 16 1918
22 16 982
10 13 347
19 13 1784
19 26 309
29 16 1369
16 20 816
7 20 1577
22 16 1819
6 22 562
20 16 851
13 9 820
13 10 606
7 20 1241
19 26 836
23 29 957
7 26 1166
10 3 547
13 29 626
29 26 1522
3 13 685
13 29 1255
10 6 542
26 16 1303
19 25 1263
19 16 1489
9 25 1529
26 20 1645
16 6 1907
26 19 244
22 9 1509
19 3 638
19 19 1956
16 19 1193
7 26 1257
23 29 1789
23 23 1382
9 22 452
16 16 1633
13 3 795
13 10 1614
25 19 1889
19 29 1523
20 10 1569
10 6 1765
3 20 1434
6 6 564
19 6 1108
26 19 244
29 10 1463
26 13 1295
19 22 1200
23 23 1382
16 19 1193
6 13 1201
26 22 1487
23 29 1789
16 6 755
3 13 355
20 23 1325
13 23 560
16 3 477
6 10 713
13 6 1475
10 16 1202
29 16 1051
26 16 1296
10 29 676
16 29 1083
19 22 735
16 16 287
3 10 579
26 29 610
26 13 1295
9 22 452
22 22 626
13 20 1925
26 20 1645
13 6 223
20 7 894
28 19 828
6 13 1201
16 13 654
19 9 1897
13 3 690
26 22 1628
7 7 1524
19 3 1814
10 10 588
7 26 1257
19 6 1204
10 10 553
13 20 1925
6 10 465
22 19 470
6 6 631
6 6 1058
22 28 1002
19 19 1437
10 6 1765
16 20 816
19 9 1897
22 19 470
3 10 579
6 16 1023
7 23 907
26 26 1261
22 9 1805
3 19 600
28 16 827
19 16 1489
19 29 1523
26 22 1487
6 10 713
7 20 1577
10 7 1801
22 16 1598
25 13 546
22 13 226
26 7 738
19 13 884
3 20 1263
16 10 1309
19 6 217
26 10 574
7 23 1303
13 13 967
6 6 1921
7 10 801
3 23 697
10 10 588
3 19 901
16 29 1730
23 3 1396
22 28 1717
10 16 1202
28 19 1240
13 20 1951
9 22 909
29 26 719
13 3 466
3 13 1907
10 10 588
9 6 1467
3 13 1313
13 23 560
9 25 1529
26 6 774
3 23 697
16 3 227
3 19 1432
6 29 1859
16 13 1718
6 6 779
22 16 1598
16 26 1789
20 13 1542
19 3 762
19 19 1437
13 13 967
19 25 854
16 29 533
22 16 1598
29 26 1724
20 16 851
13 13 1714
10 19 1278
19 10 1820
9 13 1442
22 13 226
6 3 1347
25 6 216
28 6 1636
22 3 338
22 19 1628
26 19 244
13 13 967
19 3 1547
10 13 414
9 16 814
29 10 1463
3 16 1456
26 6 1627
13 9 820
9 6 1467
7 3 1607
29 16 584
23 16 868
10 29 1194
20 26 1863
13 25 550
6 3 453
16 6 1907
29 20 1160
13 20 1951
3 23 571
6 3 1176
29 16 584
19 22 1260
3 22 940
22 10 1079
23 20 1536
22 19 783
25 28 221
16 29 1083
29 19 1268
6 13 1201
6 29 1800
16 6 1188
23 29 957
3 13 1210
3 13 472
13 10 629
23 13 206
25 6 647
22 10 1848
3 3 715
9 6 1467
16 16 287
13 6 1475
25 16 1200
16 10 1508
16 3 279
22 25 1227
10 7 1801
23 23 1366
26 22 1348
26 29 1233
10 13 1315
22 28 1717
3 19 952
29 26 1522
28 9 1185
16 3 477
20 16 851
23 29 1232
25 6 653
26 29 610
16 22 1579
19 22 1200
19 10 1820
22 19 287
3 13 1306
10 6 1765
16 16 706
23 7 936
3 19 901
26 22 1628
3 3 575
23 7 983
28 19 828
16 28 1821
26 29 1233
3 16 1391
3 13 751
22 6 683
7 26 634
3 19 1928
13 25 550
19 22 1719
23 16 1936
23 16 1936
3 3 355
7 13 898
29 20 1160
22 9 1509
19 3 638
22 10 1848
16 22 491
22 19 1628
6 22 794
13 29 1255
13 3 203
26 20 1645
6 22 794
6 10 1572
16 13 1718
28 6 707
6 26 1291
28 22 330
19 25 1263
16 16 878
16 29 1694
29 16 1442
19 22 735
23 16 868
19 6 1108
28 9 1185
19 19 1990
16 22 491
3 16 753
28 16 327
25 13 1251
