volume peso recompensa
16 29 533
22 3 1565
3 13 530
29 23 1148
6 6 1921
26 22 1348
19 3 522
13 6 223
13 26 1639
20 26 1863
19 6 1204
22 16 644
3 22 1768
29 16 1051
20 7 386
26 26 716
16 19 234
13 9 820
25 22 1331
3 23 571
22 13 667
16 23 746
13 10 606
19 25 844
13 20 1925
22 19 783
16 29 533
22 22 930
3 13 633
6 29 834
16 26 1789
26 26 716
23 29 1789
19 13 884
16 3 477
19 22 1804
3 22 1768
26 13 1295
16 28 875
3 19 600
10 26 1843
29 26 1522
29 20 1991
13 22 590
13 29 719
10 6 1765
3 19 901
6 29 834
19 22 691
7 20 1577
13 3 690
23 29 1232
26 26 1170
10 3 1886
3 13 1907
29 29 1019
10 6 1765
6 10 1572
23 23 1366
25 6 653
26 16 1296
20 16 1200
6 6 631
16 10 1309
10 10 553
28 25 952
19 25 844
6 10 713
13 10 606
29 26 1724
16 10 396
9 9 427
6 29 1800
9 9 1137
16 29 1142
22 25 224
6 6 779
19 16 1012
19 3 1814
26 29 610
10 7 1801
25 13 546
16 19 234
23 23 1366
19 6 1108
3 13 355
16 29 1142
25 22 861
16 29 1002
16 13 1718
23 7 936
6 28 1820
3 23 697
10 3 1886
3 23 697
3 10 1791
23 20 437
22 19 287
3 16 1391
16 16 772
7 3 1607
10 26 1843
22 22 265
22 19 602
16 13 1718
28 6 707
23 23 1382
25 28 1909
13 13 1710
7 20 412
26 29 1233
10 3 1886
19 19 1990
10 13 414
16 23 746
6 22 666
19 16 1319
25 6 653
16 28 1821
13 26 1639
19 3 1547
22 25 224
20 23 1325
6 19 486
25 13 546
16 3 836
26 6 1627
22 25 224
9 16 814
19 22 1719
3 22 940
3 13 1889
3 22 1768
22 22 626
29 29 1019
16 16 878
10 19 709
13 13 1710
26 16 1296
19 3 1982
3 10 1791
13 10 483
22 10 1233
19 22 1440
20 23 204
13 23 560
3 13 1502
9 6 748
3 16 1456
20 13 1054
3 10 984
29 10 1657
25 6 216
3 23 697
10 13 419
20 23 1325
22 13 293
16 10 1508
29 26 1724
16 16 878
19 13 1904
19 13 1537
26 19 244
23 29 1789
20 23 204
28 22 1166
10 29 1065
10 7 1801
7 23 907
20 10 1663
10 13 414
6 22 562
6 13 1713
19 25 844
3 23 1410
3 10 984
16 28 935
13 3 690
25 25 371
28 19 1240
6 19 406
22 3 1492
3 7 1565
23 20 1536
22 10 1848
3 20 1263
13 22 590
13 6 490
22 6 683
10 16 1202
19 22 1804
13 6 580
16 29 533
3 10 579
7 10 1630
16 29 533
16 20 816
16 28 875
22 13 709
19 13 1784
3 16 1796
16 10 396
10 26 1843
29 10 483
19 29 1523
19 3 1982
3 13 1907
10 26 1229
19 25 844
3 13 633
13 3 795
26 26 1790
19 28 512
26 20 1645
6 19 1591
16 19 1873
16 19 1873
6 6 1445
25 13 546
22 3 480
3 3 699
22 28 1717
16 13 1477
3 13 1889
19 13 1040
23 20 1536
22 25 1227
3 13 530
19 6 1108
13 3 699
19 13 1688
19 22 1719
13 20 1951
3 13 633
9 25 1529
3 20 1645
26 13 1295
26 22 1065
3 13 472
25 16 1200
3 13 751
19 22 1719
6 16 618
29 23 1148
29 13 1014
13 29 626
28 19 828
16 29 1142
6 3 1176
16 28 1821
6 10 465
23 26 1520
26 16 1303
29 29 763
10 6 1765
22 3 480
22 13 709
22 25 914
7 10 1630
6 10 713
16 28 935
13 6 580
3 16 1796
10 6 1765
25 19 1889
6 19 996
22 13 226
3 20 1434
9 9 1137
20 13 1542
6 6 779
3 22 1768
3 19 901
19 9 1059
13 10 1614
16 6 755
23 7 936
10 3 1641
3 19 1928
6 26 1143
13 6 490
20 23 1236
20 23 1236
7 16 764
26 26 1170
6 22 666
19 6 324
10 13 347
29 29 763
26 10 574
13 13 1008
23 26 1913
3 13 1907
7 13 734
13 10 738
9 25 1529
20 16 1200
22 3 1492
16 29 1739
22 19 287
10 6 1747
13 6 1475
22 10 1079
10 26 1229
10 19 1278
19 22 691
3 16 1456
19 9 1059
23 23 881
23 20 437
19 22 1719
6 10 1572
20 10 1569
16 13 671
6 22 597
26 16 1303
28 16 327
28 19 828
6 29 834
7 20 1241
23 29 957
10 3 1886
22 25 224
19 19 1437
25 13 1251
22 28 1002
29 29 1019
13 25 1467
7 29 598
22 25 224
29 10 1657
25 13 609
23 29 1789
28 19 828
10 3 1886
28 22 1166
20 16 851
29 10 1657
6 6 442
22 19 287
23 7 936
7 10 1630
26 20 971
19 26 836
6 16 618
22 10 1079
7 3 1823
26 26 1261
29 19 1268
16 22 491
28 9 1185
3 13 1313
22 28 1002
16 6 1188
16 10 1309
7 16 764
13 3 699
13 23 560
10 6 1747
7 3 1607
19 13 1537
26 26 716
22 28 1002
20 10 1663
23 26 1594
25 28 521
25 28 521
16 3 227
29 10 483
23 29 1789
9 19 1281
3 10 1475
3 13 530
10 10 553
20 23 204
19 22 1719
7 13 734
16 13 707
13 13 1679
23 7 983
19 16 1319
28 22 1166
16 20 816
19 3 762
3 3 355
9 22 452
26 22 1513
10 19 709
28 22 1166
3 23 571
29 10 483
10 13 1315
6 6 1058
23 26 1913
20 20 418
26 22 1487
6 16 1023
16 16 1633
28 9 1185
9 9 427
6 6 1445
10 6 542
23 13 206
19 19 1437
13 13 1710
16 6 1188
22 6 683
13 3 795
6 29 834
16 16 878
13 6 1987
28 22 1166
20 7 386
22 16 1819
3 3 575
16 29 1694
22 19 783
28 22 1166
22 3 338
6 19 1243
22 16 644
22 13 667
23 26 1520
6 16 647
29 16 584
23 29 1232
23 29 1232
13 13 1008
19 28 486
16 3 836
22 9 1805
23 23 1366
10 10 588
13 25 1026
6 6 564
19 28 213
9 22 909
13 20 1925
3 16 501
13 25 550
26 22 1628
10 22 1694
19 13 1784
29 29 1019
6 22 666
3 9 1558
22 19 783
16 6 1332
22 19 470
19 25 844
13 3 203
6 6 564
3 13 751
9 9 427
13 25 1467
6 13 1201
23 20 1536
28 19 828
16 16 287
16 3 227
19 3 784
19 3 1814
19 6 1108
3 22 1768
3 22 940
22 28 1717
23 23 881
13 29 1255
22 22 930
26 26 496
13 3 455
29 23 1148
6 6 1921
3 10 984
25 6 216
19 3 522
13 10 606
3 13 1306
26 22 1165
22 9 1509
10 7 1801
3 23 1410
29 10 483
13 3 699
26 19 244
25 28 221
26 29 610
16 6 755
3 13 685
10 10 1856
29 22 561
7 7 828
13 25 1026
26 26 1790
3 16 1796
20 10 1569
10 6 542
3 3 575
19 6 1813
16 16 287
16 22 491
9 19 1281
9 16 814
20 16 823
6 19 1591
9 25 849
3 23 571
26 26 496
26 16 1303
25 16 1200
22 25 914
16 16 878
9 6 748
19 22 1719
13 25 1467
13 25 1467
29 16 1442
19 3 784
3 10 1791
13 20 1925
10 19 709
9 22 452
25 16 1200
20 16 851
19 25 305
29 29 763
19 28 512
7 29 598
23 23 881
3 13 1889
16 10 396
16 19 1193
3 3 715
13 6 223
13 13 967
3 10 984
19 26 309
19 25 854
22 28 1717
9 22 909
26 26 496
25 22 1331
19 9 1059
19 22 1897
13 9 820
6 6 631
9 16 814
13 16 1838
10 26 410
26 19 244
22 28 1002
16 23 746
13 6 580
22 3 338
28 6 1065
25 28 521
13 3 621
25 22 471
3 16 1456
13 13 1008
19 16 1351
28 22 330
26 22 1487
9 25 1529
10 3 1886
20 16 851
10 6 1747
23 16 1936
29 19 1268
9 6 748
22 3 338
3 16 501
19 28 512
9 13 211
20 23 204
13 13 1679
7 3 1823
16 3 477
9 9 427
22 29 1500
19 6 1204
3 3 575
16 29 1593
3 13 530
19 3 638
19 26 836
16 16 527
16 6 1907
3 22 1768
6 19 1243
16 19 234
13 16 1894
3 13 1502
3 9 1558
23 13 206
7 29 598
16 3 262
6 29 834
3 22 1662
19 26 309
3 16 501
7 20 1577
25 6 653
16 3 477
3 10 1791
19 13 1688
7 16 764
6 19 1591
22 19 287
28 9 1185
6 10 1572
3 10 579
3 16 753
13 13 1008
16 28 1863
23 20 437
13 23 1714
10 10 1856
13 25 1026
6 19 406
29 19 1268
19 26 309
22 25 914
16 10 1309
3 20 1263
6 22 597
22 28 347
3 20 1263
25 28 221
19 3 638
13 23 560
3 23 697
19 9 1897
19 6 217
29 16 1051
19 22 735
3 7 1565
28 6 707
7 13 1210
13 23 916
26 29 1233
6 6 442
7 20 1577
3 3 1563
19 3 522
3 13 1502
6 29 834
7 16 789
16 28 875
13 13 967
3 22 940
23 16 1936
22 13 293
26 22 1513
20 10 1663
22 3 1492
6 6 1058
9 13 211
3 22 1662
29 26 1724
25 22 580
6 6 1921
10 10 1856
19 26 836
3 16 753
22 10 1079
26 29 267
9 25 849
3 13 1907
9 13 211
3 13 751
13 3 795
13 10 1614
22 22 930
13 9 820
23 23 1366
26 13 1295
23 16 868
16 19 1873
6 19 996
25 28 1521
9 25 849
13 3 621
19 3 638
13 29 719
25 13 546
7 10 801
6 26 1143
23 20 1536
16 3 279
28 25 952
19 16 1319
10 6 1747
13 23 560
23 3 1396
6 6 779
3 16 1391
13 23 1714
6 16 647
10 29 1488
6 22 666
19 22 1897
7 10 801
16 10 1081
6 22 597
13 16 1894
16 13 1718
20 16 823
29 10 1463
26 16 1303
19 16 1319
29 20 1704
7 10 801
6 6 564
19 22 1200
3 19 600
22 19 1628
20 13 848
22 16 644
6 22 597
26 20 1645
19 28 486
16 29 533
19 3 784
16 19 234
7 20 1241
26 29 610
25 22 471
26 16 1296
19 19 1990
6 28 1820
13 29 719
22 28 1002
3 22 1768
10 3 1886
3 22 1662
9 22 909
26 16 1303
7 20 412
16 10 1309
26 6 774
10 6 1765
13 6 1062
25 28 1521
16 3 1518
29 16 1051
20 23 1236
13 25 1467
3 7 1565
13 6 580
13 6 1475
23 29 1232
7 20 412
22 22 265
13 3 690
6 22 666
3 13 751
3 13 1313
19 19 873
16 29 1083
29 16 584
22 29 1500
9 22 452
19 9 1059
16 3 262
19 22 1719
26 20 1645
3 9 1558
3 3 355
22 10 1233
23 26 1594
13 10 1614
23 26 1520
16 6 1332
10 19 1278
6 19 996
28 22 1166
7 7 501
6 6 1921
22 3 338
22 10 1079
13 6 490
23 7 983
10 7 1801
23 26 1913
7 23 1303
29 20 1704
7 3 1823
22 9 1509
16 29 1002
16 29 1694
7 26 634
19 6 324
26 16 1303
26 6 774
3 13 1210
9 6 1467
3 19 600
23 29 957
23 26 1594
22 28 1717
3 19 600
10 26 1229
26 6 1156
23 13 206
6 6 1058
16 19 1193
10 19 709
6 26 1143
16 29 1142
16 16 772
20 26 1863
23 20 1536
25 13 546
16 29 1883
28 6 707
20 13 636
20 3 1785
22 19 783
7 16 789
16 22 491
3 3 355
22 19 470
22 16 1819
16 29 1002
13 20 1951
22 19 783
13 23 1714
25 28 521
22 22 265
28 16 327
19 3 522
23 13 206
22 10 1233
26 19 1397
29 23 1148
9 22 909
13 25 1026
10 19 709
7 26 1257
29 13 1014
13 3 795
22 16 1175
10 19 1278
19 28 213
10 10 1285
28 16 827
10 22 1694
23 7 936
3 13 1889
3 3 699
13 10 1614
10 10 1856
10 26 1229
6 19 1243
29 10 243
13 25 1026
25 28 1521
10 19 709
7 7 1524
10 16 1202
13 16 1894
28 16 827
7 13 898
19 25 1263
6 28 1820
6 16 1023
25 28 221
29 26 719
22 22 318
23 26 1594
23 16 868
16 10 1081
23 20 1536
19 19 1437
19 13 1688
3 23 1410
10 10 1856
3 13 751
23 7 936
3 3 1563
10 26 1229
19 16 1351
16 22 1579
9 22 452
23 26 1594
13 10 483
6 10 465
10 10 588
16 13 671
7 13 898
16 29 1593
22 13 667
6 19 1591
10 6 1765
7 10 801
16 16 878
25 16 1200
7 23 907
3 13 685
16 16 878
3 3 715
25 22 580
7 26 1257
26 22 1348
22 22 265
23 26 1594
10 13 1315
22 6 683
13 29 719
26 7 738
28 22 1166
22 16 644
10 6 1765
19 9 1897
19 9 1897
13 22 590
19 6 1204
6 16 647
22 16 982
9 13 211
19 13 1875
13 26 1639
22 22 930
26 6 774
23 20 1536
29 29 969
19 16 1012
23 13 206
13 10 738
26 7 738
29 22 561
7 7 1524
10 10 1856
6 6 564
16 13 707
20 23 1551
6 6 1921
7 13 898
25 28 221
19 6 324
22 13 226
22 22 930
10 3 547
3 16 1456
3 16 1796
22 9 1805
7 10 1630
16 6 755
29 20 1704
22 10 1848
16 6 1332
22 10 1848
16 6 1907
26 7 618
6 6 442
19 19 873
3 13 472
13 6 1987
6 6 1058
13 13 1008
13 6 1475
7 20 1241
16 3 262
6 22 794
16 16 1633
19 3 1547
3 19 1432
13 6 580
13 10 629
28 19 828
6 19 406
19 16 1489
13 13 1710
19 3 1814
29 20 1991
6 19 406
25 16 1200
19 13 1784
3 22 940
19 6 217
6 26 1143
28 16 327
3 19 901
19 6 1813
19 3 1814
16 28 1821
23 26 1913
19 19 1956
10 6 542
3 20 1645
3 16 753
19 19 1990
9 9 1137
23 29 1789
7 13 734
13 10 738
9 22 452
7 10 801
6 6 631
22 16 1175
6 29 1859
26 26 496
23 29 957
25 28 521
22 13 226
3 10 1791
9 9 427
16 23 746
13 6 223
3 23 1410
16 10 1081
6 29 834
22 28 1717
29 26 719
9 9 427
28 16 327
19 6 324
16 13 654
16 29 533
6 19 996
19 16 1012
3 10 1475
13 10 1614
13 13 1679
3 13 1889
13 26 1639
22 22 265
10 29 1194
29 10 1463
13 3 466
13 3 455
19 28 486
19 28 486
20 10 1569
3 16 1105
26 22 1487
7 29 743
22 19 783
13 13 1714
29 26 719
13 23 1714
6 10 1572
26 22 1628
25 13 609
3 13 1502
3 23 571
16 16 287
9 22 909
19 19 1990
23 20 1536
19 22 691
3 3 355
7 3 1607
19 22 691
29 16 1051
6 28 1820
19 19 1956
3 19 600
19 25 305
19 22 691
3 19 901
26 10 574
29 29 1019
3 16 1105
10 10 1285
13 29 1255
26 10 574
13 13 1710
3 22 940
13 10 629
16 16 878
6 29 1859
7 20 1577
20 7 386
20 23 1551
25 19 1889
16 3 262
22 10 1848
13 10 738
16 23 746
29 20 1160
16 19 1193
16 16 527
22 10 1233
29 10 483
10 13 1315
22 9 1805
7 29 598
26 6 1627
16 6 1907
20 26 1863
10 3 1641
10 26 1229
23 23 1382
3 10 984
19 3 1814
13 29 719
28 9 1185
16 28 875
28 9 1185
13 13 1008
16 16 772
19 16 1012
16 13 1477
26 16 1303
23 29 1232
7 7 828
19 26 309
13 3 690
16 10 1508
6 6 779
6 22 666
25 16 1200
3 3 1563
16 16 527
20 7 386
9 25 1529
19 13 1904
19 16 1319
10 23 1205
28 6 1953
20 10 1569
19 16 1319
26 26 1170
13 26 1639
13 16 1838
16 3 262
19 6 1813
26 19 1397
19 19 1437
13 29 719
29 23 1148
10 19 1278
20 13 1054
22 16 644
19 28 213
3 20 1645
13 13 1008
19 22 735
6 22 597
19 13 1537
6 22 597
26 26 496
22 13 293
19 22 1200
6 29 1800
19 26 309
6 19 1185
23 29 1789
23 16 1918
16 19 234
3 23 571
3 3 355
19 13 1904
13 10 483
3 13 633
19 13 1904
25 6 647
10 29 676
29 29 969
25 6 647
23 20 1536
6 3 453
19 16 1489
3 13 472
7 3 1823
6 3 615
16 3 1518
23 16 868
7 23 1303
7 3 1607
9 13 1442
22 19 287
23 29 957
13 3 795
22 22 626
29 16 1442
6 10 713
25 13 1251
16 3 279
3 3 355
10 26 410
19 22 735
13 10 606
22 16 1598
7 3 1607
16 29 1083
19 19 1437
20 23 1551
23 16 1918
19 6 1108
23 20 437
3 20 1645
16 16 878
29 26 1522
20 26 1863
19 22 691
3 19 901
16 28 875
19 19 873
19 9 1059
26 22 1348
6 3 453
7 13 734
10 10 1285
19 25 305
16 10 1081
26 16 1296
28 16 327
26 7 618
29 10 243
16 6 1188
6 3 1347
22 6 683
26 16 1303
10 29 1194
29 10 1657
10 6 1747
3 3 699
10 29 1488
10 10 553
13 29 719
19 3 762
3 22 940
28 19 1240
7 10 1672
10 26 1229
6 6 564
19 16 1489
23 26 1520
29 16 1051
9 19 1281
25 28 221
26 10 574
19 25 305
23 26 1913
13 9 1857
29 16 1051
9 19 775
13 25 1026
26 22 1165
22 10 1848
13 29 1255
7 7 828
25 22 861
9 9 427
19 19 1437
22 16 1598
16 16 878
22 25 1227
7 26 1257
23 7 936
3 13 1306
10 29 1194
22 22 626
7 20 1241
3 13 472
26 29 1233
3 13 1889
29 20 1704
20 7 894
23 29 957
7 29 598
10 3 1641
22 29 1448
20 13 636
10 10 1856
13 26 1073
13 13 1714
6 6 631
19 22 1804
9 25 849
3 20 1645
3 22 1768
16 3 836
28 6 1636
26 6 774
13 16 1785
16 3 477
22 6 683
6 3 453
3 3 699
28 6 1065
13 25 550
19 25 1263
22 3 1492
13 29 626
29 29 1019
6 19 1243
6 26 1291
16 20 816
20 13 1542
13 25 550
10 22 1694
19 22 691
20 10 1569
25 6 653
7 3 1823
10 26 410
25 28 1909
19 22 1804
6 6 779
26 6 774
6 19 486
3 20 1434
26 22 1165
3 7 1565
13 26 396
16 6 1907
6 10 465
25 6 647
22 3 1565
16 3 262
16 13 1477
19 25 1263
7 7 828
23 20 1786
23 26 1913
23 20 1786
29 20 1991
9 16 814
26 22 1165
3 20 1434
28 6 707
19 25 1263
19 3 1982
20 10 1663
10 10 553
6 6 1058
26 19 244
10 23 1205
16 28 1863
13 20 1925
13 6 490
22 25 1227
22 16 644
19 9 1059
28 16 327
22 10 1079
28 25 952
19 13 1904
13 29 719
23 26 1913
16 10 1081
6 22 794
7 7 828
13 29 719
19 25 305
29 29 1019
3 19 1432
13 6 1699
3 19 1928
6 6 1445
25 28 1909
29 13 1014
6 28 1820
22 16 1819
16 3 477
13 13 1008
3 16 501
23 20 1536
6 19 1591
16 22 1579
3 13 1907
3 13 685
9 13 211
10 3 1886
28 6 1953
3 13 1907
3 7 1565
13 13 1679
19 3 522
9 9 1137
7 10 1630
6 6 1058
19 6 1108
22 13 226
16 19 1193
3 9 1558
7 7 1524
13 6 1062
10 19 709
7 26 1166
16 3 262
6 13 1201
22 22 265
9 19 1281
10 29 1194
6 19 406
29 22 561
28 6 707
13 26 1073
7 3 1607
25 6 647
20 3 1785
6 19 486
3 13 355
7 16 764
13 3 795
20 3 1785
6 10 713
16 3 477
25 28 1909
10 26 1229
16 29 1730
7 3 1823
22 13 293
13 6 490
22 22 318
19 6 1813
